DOI,Year,Authors,Article Title,Source Title,Volume,Issue,Start Page,End Page,Keywords,Times cited,Affiliations,Abstract,Link,Source
,2014,"Balaji M., Vel Murugan V., Arun Kumar N.R.",Creating agile supply chains by tads,Latin American Applied Research,44,4,345,350,Agility index; Competitive advantage; Responsive supply chains; TADS,1.0,"Department of Mechanical Engineering, Kumaraguru College of Technology, Coimbatore, 641049, India; Sree Sakthi Engineering College, Coimbatore, 641104, India; Kumaraguru College of Technology, Coimbatore, 641049, India","Global markets are now becoming volatile in most industries and the importance of their abilities to adapt to rapid and unexpected changes have surfaced. Modern organizations have to respond quickly to their customers' dynamic demands without compromising on quality, productivity and cost. Achieving agility lies in designing agile friendly processes and thus firms need to concentrate on their supply chains and its enablers in the attempt of redressing themselves as responsive supply chains. To evaluate and improve the levels of supply chain agility, a model called Total Agile Design System (TADS) is proposed. TADS as a methodology identifies supply chain enablers and prioritize them in order to achieve supply chain agility. In this scoring model, agility index before and after implementation of TADS are measured and discussed. The results validate the proposed model and lend evidence to the current thinking of impinging on agile concepts in traditional supply chains for competitive advantage and survival. © 2003-2012 Latin American Applied Research Journal.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975061219&partnerID=40&md5=02c6c78d2b3b5eb926870058bcaf58a0,Scopus
,2012,"Balaji M., Vel Murugan V., Arun K.K., Chobiya Ashwini A., Subashree C., Savitha V.",Improving supply chain agility using Total Agile Design System,European Journal of Scientific Research,81,4,554,562,FAST; Responsive supply chains; Supply chain enablers; TADS,,"Department of Mechanical Engineering, Kumaraguru College of Technology, Coimbatore 641049, India; Sree Sakthi Engineering College, Coimbatore 641 104, India","With turbulence in competition and focusing on a customer driven marketing environment, an efficient shop floor with higher productivity levels and automation alone are totally marginal to retain the desired profits. In addition, the supply chain must be flexible to respond to the quick changes happening around. This is the key to enable the firms to sustain in the market with the traditional products where it had made enormous profits. It is true that when the innovation in the product reaches saturation or becomes obsolete, the firms should concentrate on their supply chain enablers and try to make existing chains more efficient. Several methodologies to measure supply chain efficiency exist and one of those effective methods is Total Agile Design Systems (TADS) which tries to embark manufacturing concepts in supply chain. This paper attempts to apply the functions of TADS in supply chain, the prior works however enumerate the effect of TADS in production. The ultimate effects of adapting TADS in any firm are to obviously create responsive supply chains in order not to succumb to competition and frequent changes. © EuroJournals Publishing, Inc. 2012.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864630481&partnerID=40&md5=3e2bce598fbd9ceffee9456260a182bf,Scopus
10.1007/978-3-319-65151-4_48,2017,"Ballarino A., Brondi C., Brusaferri A., Chizzoli G.",The CPS and LCA modelling: An integrated approach in the environmental sustainability perspective,IFIP Advances in Information and Communication Technology,506,,543,552,CPS; Industrial sustainability; Industry 4.0; LCA; Modular LCA,4.0,"ITIA-CNR Institute for Industrial Technologies and Automation, 12 Alfonso Corti, Milan, 20133, Italy","The present paper clarifies the methodological framework to implement the integration of Cyber Physical Systems (CPS) in the perspective of environmental sustainability. Firstly, authors identify main methodological, software and hardware pre-requisites enabling the use of CPS systems in accordance with the literature and environmental standards. Then, the paper focuses on the main barriers in the case the information is distributed along a flexible supply chain and identifies a methodology to coordinate environmental information from ubiquitous sources by the use of modularization. This methodology is applied in the field of energy management for the steel sector for different production lines. In particular, it is highlighted as the consumption tracking may be linked to the real-time management of suppliers and processing cycles in order to pursue strategies for environmental impact minimization. Results emphasized as the development of the CPS systems that are designed for sustainability can produce relevant results for the effective restrain of industrial environmental impacts. © IFIP International Federation for Information Processing 2017.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029578226&doi=10.1007%2f978-3-319-65151-4_48&partnerID=40&md5=704b374eee8412b766c3e17ba83decc1,Scopus
,2018,"Bamoumen M., Giard V., Hilali H., Hovelaque V., Rakiz A.","Flexi-security stocks, a new approach for semi-raw materials used in blending","ILS 2018 - Information Systems, Logistics and Supply Chain, Proceedings",,,25,34,Dynamic Blending; Risk; Safety Stock; Uncertain Universe,3.0,"EMINES School of Industrial Management, University Mohammed VI - Polytechnique, BenGuerir, Morocco; Université Paris-Dauphine, PSL Research University, Paris, France; Univ Rennes, CNRS, CREM, UMR 6211, Rennes, F-35000, France","The objective of this paper is the control of risks related to unforeseen changes in output demand at the end of a continuous-process supply chain. A dynamic blending approach has been developed to simultaneously define the optimal blends of inputs according to the order book and the inputs available in the blending area or which can be conveyed there from the mine. In the context of an uncertain universe, the risk of output stockout due to unpredictable demand is addressed by building up security stocks for some critical inputs along with the flexibility offered by dynamic blending. The optimization model for dynamic blending is described and a real-life example of the behavior of risk management through flexi-safety stocks is provided. © ILS 2018 - Information Systems, Logistics and Supply Chain, Proceedings. All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050991769&partnerID=40&md5=3d73b870c18b7a95cdfb71c3f4125606,Scopus
10.1080/00207543.2011.588624,2012,"Banerjee A., Sarkar B., Mukhopadhyay S.K.",Multiple decoupling point paradigms in a global supply chain syndrome: A relational analysis,International Journal of Production Research,50,11,3051,3065,decoupling point relation; fuzzy set theory; multidimensional scaling; multiple decoupling points; multiple material decoupling point,19.0,"Department of Production Engineering, Jadavpur University, Kolkata, 700032, India; Jadavpur University, West Bengal University of Technology, CA-30, Sector-1, Salt Lake, Kolkata, 700064, India","A responsive and flexible supply chain in the global product value chain set-up links the manufacturer with various inter-company entities, such as suppliers, distributors, contract manufacturers and customers to deal with volatile demand. It is imperative and prudent to look at the overall product chain rather than focusing on any single supply chain entity. From a supply chain perspective, it is crucial that these individual entities are lean and agile (leagile) themselves, as well as the overall product value chain. As a result of the global nature of the product value chain, the concept of the decoupling point has undergone a paradigm shift. Through the literature review the authors establish three different types of decoupling point existing in product value chains, namely: (1) product structure decoupling point (PSDP), bill of materials decoupling; (2) supply structure decoupling point (SSDP), supply network decoupling; and (3) demand transfer decoupling point (DTDP), associated with information sharing. It is argued that such decoupling points are already an established and accepted phenomena, but have not been comprehensively discussed until now. It is proposed that, in the global supply chain, PSDP and SSDP are elemental decoupling points and DTDP is a logical decoupling, which is a function of PSDP and SSDP. It is proposed that DTDP swings between PSDP and SSDP and the swing direction is a critical piece of supply chain information that helps identify distortion. A multidimensional scaling (MDS) method is proposed to discover the relationship of DTDP with SSDP and PSDP using interpretation matrices and stress coefficients. Considering the supply chain as a fuzzy system, a combined effect of MDS over fuzzy applications has been used to determine the extent of swing of DTDP in the particular application of the supply chain. © 2012 Copyright Taylor and Francis Group, LLC.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862703799&doi=10.1080%2f00207543.2011.588624&partnerID=40&md5=405be0d04bd768eba808b10e2b860836,Scopus
10.1080/00207543.2020.1711988,2020,"Bao B., Ma J., Goh M.",Short- and long-term repeated game behaviours of two parallel supply chains based on government subsidy in the vehicle market,International Journal of Production Research,,,,,cooperative; cost-sharing contract; government subsidy; non-cooperative; short- and long-term game,45.0,"College of Management and Economics, Tianjin University, Tianjin, China; The Logistics Institute-Asia Pacific and NUS Business School, National University of Singapore, Singapore","In response to environmental protection policies issued by the United Nations Environment Program, battery electric vehicles (BEVs) have been developed. This paper studies the short- and long-term repeated game behaviours of two parallel supply chains involving duopoly vehicle manufacturers producing BEVs and fuel vehicles (FVs). Taking consumers’ low-carbon preference and government subsidy scheme into account, optimal decisions and comparative analyses under the three game strategies of non-cooperative game and cooperative game and cost-sharing contract under supply chain coordination have been conducted. In the short-term game supply chain, three game models (non-cooperative, cooperative and cost-sharing contract) are formulated and three optimal decisions are compared. In the long-term repeated game supply chain, the dynamic behaviours of two parallel supply chains under non-cooperative game are analysed. We uncovered that the prices of BEVs are more dependent on the reduction of carbon emissions and government subsidy than FVs. In addition to supply chain coordination, consumers’ low-carbon preference also improves the total profits of the three game models. Furthermore, the adjustment speed of the eco-friendly level of BEVs has the most significant impact on the vehicle market. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis Group.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084361585&doi=10.1080%2f00207543.2020.1711988&partnerID=40&md5=32333a85dad7054ff162ffd9dc6eb795,Scopus
,2018,Barad M.,Applying quality function deployment to build a knowledge management conceptual framework,"Proceedings of the International Conference on Intellectual Capital, Knowledge Management and Organisational Learning, ICICKM",2018-November,,1,6,Competitive advantages; Human advantages; Improvement needs; Quality Function Deployment,,"Tel Aviv University, Tel Aviv, Israel","Knowledge Management (KM) is a discipline that promotes an integrated approach for identifying, capturing, retrieving and sharing all of an enterprise's information assets. It is important because it stimulates innovation and growth and leads to effective decision making. Culture is a significant factor in this process and the role of people is critical. Successful Knowledge Management in any enterprise depends on the employees willing to share and invest their individual knowledge in the organization. Other factors are the business strategic priorities, top management support and technology, which may act as an enabler. We present a method for building a Knowledge Management framework utilizing Quality Function Deployment (QFD). The essence of the original QFD method was to extract the customer needs or desires expressed in his own words and to translate them into measurable product characteristics and further processing. The method has been enhanced and instead of being solely a technique for product design it became a technique for a variety of topics such as improvement of manufacturing systems, deployment of flexibility in supply chains and others. Our conceptual model has a top-down structure with QFD sequential matrices. It represents a research framework of an eventual empiric research for identifying important KM actions leading to improvement of the competitive and human advantages of an enterprise. We assume that the Knowledge Management improvement needs in an organization stem from its strategic improvement needs. To propagate the improvement needs from the strategic level to the action level, we develop two QFD matrices. The first matrix translates the strategic improvement needs into the knowledge improvement needs of an enterprise while the second one translates the knowledge improvement needs into prioritized KM improvement actions. © 2018 Academic Conferences and Publishing International Limited. All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059800131&partnerID=40&md5=cf18002ee45c14d0e9a671e7672f40b2,Scopus
10.1007/978-3-319-68400-0_3,2018,Barad M.,Flexibility-oriented strategies,SpringerBriefs in Applied Sciences and Technology,,9783319683997,31,57,,,"Department of Industrial Engineering, The Iby and Aladar Fleishman Faculty of Engineering, Tel Aviv University, Tel Aviv, Israel","This chapter describes the development of flexibility through my personal involvement in researching this complex concept. It starts with flexibility in manufacturing systems where the early researchers modeled Flexible Manufacturing Systems (FMSs) from a bottom-up perspective (flexibility of elements, system and aggregate flexibility). It continues with other modeling perspectives of flexibility, such as flexibility in logistic systems, flexibility of generic objects and supply chains flexibility. © The Author(s) 2018.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032985169&doi=10.1007%2f978-3-319-68400-0_3&partnerID=40&md5=64dfada0cdb01444b4eba42ff22c9658,Scopus
10.1007/978-3-319-68400-0_6,2018,Barad M.,Quality function deployment (QFD),SpringerBriefs in Applied Sciences and Technology,,9783319683997,101,121,,2.0,"Department of Industrial Engineering, The Iby and Aladar Fleishman Faculty of Engineering, Tel Aviv University, Tel Aviv, Israel","This chapter presents Quality Function Deployment (QFD), originally a product planning quality technique. It comprises six sections. The first section explains its basic principles and advantages. The second section describes the original version of QFD as a product planning technique. However, QFD is not limited to product planning. It is a structured multi-purpose framework, which may be used to translate improvement needs of various systems into prioritized improvement activities. Consequently, the third section presents an enhanced version of this technique. The next three sections review three published applications where this framework had been utilized in different situations. One application prioritized actions for improving the implementation of an enterprise manufacturing strategy. Another application built strategy maps as improvement paths of enterprises. The third application deployed flexibility in supply chains. All these applications started at the strategic level, with the strategic improvement needs of enterprises, but their respective QFD deployment matrices were different and led to different final outputs. © The Author(s) 2018.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032962430&doi=10.1007%2f978-3-319-68400-0_6&partnerID=40&md5=84152eff062f0556aa6b49a4286c936f,Scopus
,2015,Barad M.,Quality Function Deployment (QFD) - A multi-purpose structured framework,"23rd International Conference for Production Research, ICPR 2015",,,,,Concerns; Flexibility; Improvement needs; QFD; Supply chains,,"Department of Industrial Engineering, Tel Aviv University, Israel","The essence of Quality Function Deployment (QFD), a product planning quality technique, is to extract the customer needs or desires, expressed in his/her own words, and then to translate them, using sequential QFD matrices, into technical product quality characteristics, planning, design, process and production. However, QFD is not limited to product planning. It is a structured multi-purpose framework, which can be used to translate improvement needs of various systems into prioritized improvement activities. The two published applications reviewed here show how this framework had been used in different contexts. One application prioritized actions for improving the implementation of an enterprise manufacturing strategy. The other application deployed flexibility in supply chains. Both applications started at the strategic level, with the strategic improvement needs of enterprises, but their respective QFD deployment matrices were different and led to different final outputs.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949685225&partnerID=40&md5=4f1898112e66a4bd85cdbdf16987f0d6,Scopus
10.1080/00207543.2012.756593,2013,Barad M.,Flexibility development - A personal retrospective,International Journal of Production Research,51,23-24,6803,6816,Design of experiments; Flexibility; FMS; Generic objects; Logistic flexibility; Petri nets; QFD,9.0,"Department of Industrial Engineering, Tel Aviv University, Israel; Department of Industrial Engineering and Management, Shenkar College of Engineering and Design, Israel","This paper describes the development of flexibility through my personal views and involvement in researching this complex concept. It differentiates between two modelling perspectives: the bottom-up perspective (from the flexibility of elements to integrated flexibility) of the early researchers for modelling flexible manufacturing systems (FMSs) and the more recent top-down perspective, from flexibility as a strategy to resources needed for implementing it. The bottom-up perspective is represented here by three papers. One paper focuses on Petri nets as a modelling tool, another offers a multi-factor design of experiments (DOE) view on factors affecting the performances of an FMS, and the third one presents a framework of logistic flexibility. The top-down perspective focuses on supply chain flexibility and uses quality function deployment (QFD) as a hierarchical modelling technique. An original framework for analysing the flexibility of generic objects, utilising cloud diagrams, is also presented. In all these papers a variety of changes that flexibility has to cope with are modelled, enabling the viewing of flexibility as a powerful ingredient for responding to changes and reducing risks in uncertain and changeable environments. © 2013 Taylor & Francis.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890557638&doi=10.1080%2f00207543.2012.756593&partnerID=40&md5=c28512e54a7b04c5e27585a5eecbf0c7,Scopus
10.3182/20120523-3-RO-2023.00319,2012,Barad M.,A methodology for deploying flexibility in supply chains,IFAC Proceedings Volumes (IFAC-PapersOnline),14,PART 1,752,757,Changes; Flexibility; Quality Function Deployment; Supply chains,5.0,"Department of Industrial Engineering, Tel Aviv University, Tel Aviv, Israel",Supply Chain Management (SCM) seeks to improve the internal efficiency of the supply net of an enterprise and its competitiveness with respect to other enterprises through collaboration among firms for leveraging their strategic position and their operational efficiency. To improve their capabilities for coping with changes and uncertainties companies need flexibility. Here a methodology for deploying flexibility in Supply Chains utilizing Quality Function Deployment (QFD) is presented. A conceptual model is developed using a top-down structure with QFD sequential matrices. The methodology represents a structured framework of an eventual empiric research for measuring and analyzing causal relationships between the extent and types of flexibility of an enterprise in a supply chain and its performances under various changes and uncertainties. © 2012 IFAC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866091592&doi=10.3182%2f20120523-3-RO-2023.00319&partnerID=40&md5=56ccf2db9167255d22c0e207346a85f3,Scopus
10.1007/978-3-030-18180-2_10,2019,"Barni A., Carpanzano E., Landolfi G., Pedrazzoli P.",Urban Manufacturing of Sustainable Customer-Oriented Products,Lecture Notes in Mechanical Engineering,,,128,141,Collaborative value chains; Customer-oriented products; Mini-factories; Responsive factories; Sustainability; Urban manufacturing,3.0,"Department of Innovative Technologies, University of Applied Sciences and Arts of Southern Switzerland, Manno, Switzerland","Personalization and sustainability are becoming driving forces to achieve a leading role in a fast-changing market. Therefore, manufacturers need to become more agile and flexible, introduce personalized products and customer-oriented services, measure and capitalize environmental intangibles. To answer to those requirements, this paper addresses the key elements characterizing the urban manufacturing concept, thought as an innovative production scenario leveraging closeness to customer, customization and sustainability. Such a framework is based on innovative technologies enabling collaborative short value chains and responsive production in constrained environments, for customer-oriented products and services. The main aspects, discussed in this paper, defining the proposed production paradigm are: (1) Product customization and digitalization; (2) Sustainability; (3) Flexible and short supply chain; (4) Responsive production systems; (5) Design to manufacturing in one step; (6) Industrial symbiosis; (7) open innovation. Two application cases in the furniture and footwear sectors are discussed, highlighting experienced benefits, open challenges and future research directions. © 2019, Springer Nature Switzerland AG.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065440266&doi=10.1007%2f978-3-030-18180-2_10&partnerID=40&md5=cf557e959d7d7616d7ece735f3f7dc7a,Scopus
10.1002/cite.201500008,2015,"Bas G., Van Der Lei T.",Simulating a Global Dynamic Supply Chain as a Market of Agents with Adaptive Bidding Strategies,Chemie-Ingenieur-Technik,87,9,1230,1239,Agent-based modeling; Dynamic supply chains; Many-to-many negotiation; Market simulation; Modular plants,,"Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, PO Box 5015, Delft, 2600 GA, Netherlands","The use of modular plants in the chemical industry is expected to make the structure of supply chains more dynamic. The models currently used to get insight in supply chains assume a predefined supply chain structure, as orders are exogenously defined. Consequently, those models cannot grasp the dynamic nature of supply chains with modular plants. In this paper a market conceptualization based on agent-based computational economics is presented that includes transport costs in the negotiations and enables the modeling of supply chains as structures that emerge from market dynamics. It is shown that this conceptualization can capture the market dynamics that are needed to simulate a dynamic supply chain. © 2015 The Authors. Published by WILEY-VCH Verlag GmbH & Co. KGaA.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940462683&doi=10.1002%2fcite.201500008&partnerID=40&md5=93df28d1423c341316baa61cc21e50a5,Scopus
10.3390/info11100458,2020,"Basingab M., Nagadi K., Rahal A., Bukhari H., Alasim F.",Distributed simulation using agents for the internet of things and the factory of the future,Information (Switzerland),11,10,1,12,Agent-based model; Distributed simulation; Internet of Things (IoT); Manufacturing industry,,"Department of Industrial Engineering, College of Engineering, King Abdulaziz University, Jeddah, 21589, Saudi Arabia; Department of Industrial and Systems Engineering, College of Engineering, University of Jeddah, Jeddah, 23218, Saudi Arabia; College of Business, University of Arkansas, Fort Smith, AR  72904, United States; Department of Industrial Engineering, College of Engineering, King Saud University, Riyadh, 11451, Saudi Arabia","The adoption of the Internet of Things (IoT) and its related technologies has transformed the manufacturing industry and has significantly changed the traditional linear manufacturing supply chains into dynamic and interconnected systems. However, the lack of an approach to assess the economic feasibility and return uncertainties of an IoT system implementation, is blamed as the culprit for hindering its adoption rate. Using two distinctive case studies, this research investigates the use of distributed simulation of agent-based model (ABM) to address such gap in the literature. The first involves the economic feasibility of an IoT implementation in a very large retail warehouse facility, while the second case study proposes a framework able to generate and assess ideal or near-ideal manufacturing configurations and capabilities, and in establishing appropriate information messaging protocols between the various system components by using ABM in distributed simulation. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092931920&doi=10.3390%2finfo11100458&partnerID=40&md5=e435d055b482778e0116975865ac2245,Scopus
,2020,"Batra M., Manchanda N., Moskalev A., Uttamchandani R.",Supply chain powered by AI and blockchain,"Society of Petroleum Engineers - Abu Dhabi International Petroleum Exhibition and Conference 2020, ADIP 2020",,,,,,,"MBG Corporate Services, M.B.C. Auditing and Accounting, M B C Management Consultancies; Integrated Technology Laboratory LLC, Intela - In Partnership with MBG Corporate Services; MBG Corporate Services, M.B.C. Auditing and Accounting, M B C Management Consultancies","It is a common knowledge that the main goal of companies is to supply goods and services to buyers at maximum price for minimum cost. For companies such as energy producers, with complex and dynamic supply chains, this often causes cost control issues. Previously, business models based on VI (Vertical Integration) or outsourcing could mitigate cost increases, but these models have limits. A new paradigm is proposed: use of distributed ledger technology in the form of a blockchain-based supply chain integration solution. By permitting participants in a supply chain to integrate information flows in a secure, quick and automated levels of efficiency that are achieved and cannot be reached by other technologies and do not require participants to change their IT platforms. The main purpose for the creation and management of the ""supply chain"" is for the seller to provide the buyer the maximum value - whether of a product or service - at the lowest cost. Here is a depiction of the ""links"" in the general supply chain for energy production. © 2020, Society of Petroleum Engineers",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097550625&partnerID=40&md5=2ba952d1f188e343c4ee6372acf1e6cb,Scopus
10.1002/admt.201800696,2019,"Bechert H., Almora O., Regau K., Matt G.J., Brabec C.J., Wehlus T.",Thin-Film Electrostatic Discharge Protection for Highly Segmented OLEDs in Automotive Applications,Advanced Materials Technologies,4,5,,,automotive rear-light; capacitance; ESD protection; impedance spectroscopy; OLED; segmentation,,"OSRAM OLED GmbH, Wernerwerkstraße 2, Regensburg, 93049, Germany; Friedrich-Alexander-Universität Erlangen-Nürnberg—Materials for Electronics and Energy Technology (i-MEET), Martensstraße 7, Erlangen, 91058, Germany; Erlangen Graduate School in Advanced Optical Technologies (SAOT), Friedrich-Alexander Universität Erlangen-Nürnberg, Paul-Gordon-Str. 6, Erlangen, 91052, Germany","Future autonomous driving requires new lighting solutions. Communication in between other cars and pedestrians, which fulfills the requirements of the automotive lighting industry, is needed. A very promising lighting solution for this application are highly segmented organic light-emitting diodes (OLEDs). Unfortunately, small area OLEDs are very sensitive to electrostatic discharge due to the small capacitance of the OLED segments. This study presents a solution for highly segmented OLEDs to fulfill automotive requirements regarding electrostatic discharge (ESD) without cost driving external components but through the improvement of the OLED itself. This solution is designed to be cheap and simple in fabrication, derived from standard photolithography to ensure no impact on existing supply chains and flexible OLED fabrication. After introducing the improved device concept for highly segmented OLEDs and its boundary conditions, a detailed view on the corresponding fabrication steps is given. The capacitive response of the protected OLED segments with respect to OLEDs without the introduced protection layer is characterized via impedance spectroscopy. The results exhibit the functionality of the ESD protection layer and prove with automotive ESD stability requirements compliance. © 2019 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061831418&doi=10.1002%2fadmt.201800696&partnerID=40&md5=b74b032eae237c236f6944dcb52f5fba,Scopus
10.1155/2018/5935268,2018,"Behmanesh E., Pannek J.",The Effect of Various Parameters of Solution Methodology on a Flexible Integrated Supply Chain Model,Mathematical Problems in Engineering,2018,,,,,3.0,"International Graduate School for Dynamics in Logistics, University of Bremen, Bremen, Germany; Faculty of Production Engineering, University of Bremen, Bremen, Germany; BIBA-Bremer Institut für Produktion und Logistik GmbH, Bremen, Germany","A successful supply chain must be able to operate at the lowest cost while providing the best customer service as well as environmental protection. As industrial players are under pressure but mostly unprepared to take back products after their usage, logistics network design becomes an even more important issue. To allow for a maximum of flexibility and efficiency, we consider an integrated design of the forward/reverse logistics network using full delivery graph. We apply a Memetic Algorithm with a novel population generation to find a near optimal solution for large size problems. The effect of different parameters on the behavior of the proposed Metaheuristic Algorithm is investigated. Using the experimental work to find the best parameters for this problem is the outlook of these researches. © 2018 Elham Behmanesh and Jürgen Pannek.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045764739&doi=10.1155%2f2018%2f5935268&partnerID=40&md5=0cb8bf0f67791e5ccbf5a9622a24625f,Scopus
10.1016/j.apenergy.2013.05.073,2013,"Bekkering J., Broekhuis A.A., van Gemert W.J.T., Hengeveld E.J.",Balancing gas supply and demand with a sustainable gas supply chain - A study based on field data,Applied Energy,111,,842,852,Balancing supply and demand; Bio-methane; Biogas; Gas storage; Green gas; Supply chain,22.0,"Department of Chemical Engineering-Product Technology, University of Groningen, Nijenborgh 4, 9747 AG Groningen, Netherlands; Hanze Research Centre Energy, Zernikeplein 11, 7947 AS Groningen, Netherlands","The possibilities of balancing gas supply and demand with a green gas supply chain were analyzed. The considered supply chain is based on co-digestion of cow manure and maize, the produced biogas is upgraded to (Dutch) natural gas standards. The applicability of modeling yearly gas demand data in a geographical region by Fourier analysis was investigated. For a sine shape gas demand, three scenarios were further investigated: varying biogas production in time, adding gas storage to a supply chain, and adding a second digester to the supply chain which is assumed to be switched off during the summer months. A regional gas demand modeled by a sine function is reasonable for household type of users as well as for business areas, or a mixture of those. Of the considered scenarios, gas storage is by far the most expensive. When gas demand has to be met by a green gas supply chain, flexible biogas production is an interesting option. Further research in this direction might open interesting pathways to sustainable gas supply chains. © 2013 Elsevier Ltd.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879445418&doi=10.1016%2fj.apenergy.2013.05.073&partnerID=40&md5=afa4cd65422ffe200a2668fb64b20e19,Scopus
10.1007/978-3-642-31110-9_34,2013,"Benedikter A., Läderach P., Eitzinger A., Cook S., Bruni M.",Addressing Adaptation to Support Disaster Risk Reduction: A Framework for Supply Chain Inclusive Adaptation to Climate Change,Climate Change Management,,,513,533,Adaptation; Climate change; Food supply chains; Framework; Vulnerability,6.0,"International Centre for Tropical Agriculture (CIAT), San Juan de los Robles, Del Restaurante La Marseillaise 2 cuadras al lago, Casa 303, Managua, Nicaragua","Global climate change (GCC) presents serious challenges to agricultural systems as they strive to meet increasing demand over the coming decades. Within these systems, food value chains are increasingly recognised as being vital for development, yet relatively little is known about the vulnerability of such chains to GCC, or their capacity to adapt. This paper provides a framework to examine how food value chains are affected by the uncertain impacts posed by GCC and what this implies for adaptation. While intervention models mostly deal with measures for producers, the authors hypothesise that adaptation strategies must include the entire chain to achieve the scale needed to tackle GCC. The authors propose that comprehensive situation assessment is necessary to examine both behaviour and assets—two key attributes for adaptive capacities. This framework examines three sets of attributes: (1) The general setup and nature of the supply chain; (2) rural livelihoods’ and food supply systems’ vulnerability to GCC, including downscaled crop suitability modelling to assess precise impacts of GCC, and (3) the behaviour of people and entities involved in value creation and the institutions mediating them. The framework provides decision-makers with a scale, crop and site independent road map to design and evaluate adaptation strategies to changing climate conditions. The authors test the framework in three case studies with differing supply chain characteristics and geographical contexts. © 2013, Springer-Verlag Berlin Heidelberg.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030860888&doi=10.1007%2f978-3-642-31110-9_34&partnerID=40&md5=e23a5e1f82f9e6b209237e1f780ec65c,Scopus
10.1016/j.apm.2017.05.043,2017,"Benkherouf L., Skouri K., Konstantaras I.",Inventory decisions for a finite horizon problem with product substitution options and time varying demand,Applied Mathematical Modelling,51,,669,685,Finite horizon; Inventory; Lot Sizing; Product substitution,14.0,"Department of Statistics and Operations Research, Faculty of Science, Kuwait University, P.O.Box 5969, Safat, 13060, Kuwait; Department of Mathematics, University of Ioannina, Ioannina, 45110, Greece; Department of Business Administration, School of Business Administration, University of Macedonia, 156 Egnatia Str., Thessaloniki, 54636, Greece","The inventory control of substitutable products has been recognized as a problem worthy of study in the operations management literature. Product substitution provides flexibility in supply chain management and enhances response time in production control. This paper proposes a finite horizon inventory control problem for two substitutable products, which are ordered jointly in each replenishment epoch. Demand for the products are assumed to be time–varying. In case of a stock–out for one of the products, its demand is satisfied by using the stock of the other product. The optimal ordering schedule, for both products, that minimizes the total cost over a finite planning horizon is derived. Numerical examples along with sensitivity analyses are also presented. © 2017 Elsevier Inc.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028997447&doi=10.1016%2fj.apm.2017.05.043&partnerID=40&md5=d60cc25e1a0bf7ac681fca3bf5604d2d,Scopus
10.1080/16258312.2020.1801108,2020,"Benzidia S., Makaoui N.",Improving SMEs performance through supply chain flexibility and market agility: IT orchestration perspective,Supply Chain Forum,21,3,173,184,e-procurement; IT application orchestration; market agility; SMEs’ performance; supply chain flexibility,16.0,"IAE School of Management, Lorraine Univesity, Metz, France; International Business School, Paris, France","In a context of competitive pressure and uncertain socioeconomic change, this research examines a key component of successful business performance: the capacity to orchestrate information technologies (IT) resources. The study also explores the effect of supply chain flexibility and market agility and their role in SME performance, including responsiveness to customer needs and the speed of new product launches. Lastly, this study focuses on e-procurement application development given the strategic position of purchasing activity in companies. The conceptual framework is tested using data gathered from 126 French SMEs. Drawing upon resource orchestration theory, the empirical results provide useful guidelines for SMEs that wish to invest in e-procurement tools to enhance competitiveness and performance. © 2020 Kedge Business School.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091615152&doi=10.1080%2f16258312.2020.1801108&partnerID=40&md5=095e4eac6c897794168d5b0003a1712c,Scopus
